"LIST_TYPE","LIST_CODE","JGP_CODE","ALGORITHM_CODE","HOSPITAL_LIMIT","AGE_LIMIT","COND1_ICD9_LIST_CODE","COND1_ICD9_COUNT","COND2_ICD9_LIST_CODE","COND2_ICD9_COUNT","COND_MAIN_ICD10_LIST_CODE","COND1_ICD10_LIST_CODE","COND2_ICD10_LIST_CODE","LIMIT_SEX","LIMIT_ACCEPT","LIMIT_EXTRACT","NEGATIVE_ICD9_LIST_CODE","NEGATIVE_ICD10_LIST_CODE"
"ICD10","LOg","E78","r",,7,,,,,,"Epwdz","E79r",,,,,
"ICD10","E79","E78","u",,7,,,,,,"Epwdz",,,,,,
"ICD10","E79","E78","y",,6,,,,,,,,,,,,
"ICD10","LOg","E79","r",,7,,,,,,"E79r",,,,,,
"ICD10","E79","E79","y",,7,,,,,,,,,,,,
"ICD9","E86","E86","c",5,2,"E86",1,,,"E88","E9",,,,,,
"ICD9","E86","E87","c",3,2,"E86",1,,,"E88","E9",,,,,,
"ICD10","E88","E88","y",,2,,,,,,,,,,,,
"ICD9","F01A","F01","a",,,,,,,,,,,,,,
"ICD9","F01B","F01","a",,,,,,,,,,,,,,"F66"
"ICD9","F02A","F02","a",,,,,,,,,,,,,,
"ICD9","F02B","F02","a",,,,,,,,,,,,,,"F66"
"ICD9","F03","F03","e",,,,,,,"F07",,,,,,,
"ICD9","F03","F03","e",,,,,,,"LOg","F07r",,,,,,
"ICD9","F04","F04","b",1,,,,,,,,,,,,,
"ICD10","F07","F07","a",,,,,,,,,,,,,,
"ICD10","LOg","F07","r",,,,,,,,"F07r",,,,,,
"ICD9","F11","F11","q",,,,,,,"F16",,,,,,,
"ICD9","F11","F11","q",,,,,,,"F11",,,,,,,
"ICD9","F12","F12","q",,,,,,,"F16",,,,,,,
"ICD9","F12","F12","q",,,,,,,"F11",,,,,,,
"ICD9","F13","F13","q",,,,,,,"F11",,,,,,,
"ICD9","F13","F13","q",,,,,,,"F16",,,,,,,
"ICD10","F16","F16","a",,,,,,,,,,,,,,
"ICD9","F21","F21","a",,,,,,,,,,,,,,"F1N"
"ICD9","F22","F22","q",,,,,,,"F26",,,,,,,
"ICD9","F22","F22","q",,,,,,,"F46",,,,,,,
"ICD9","F22","F22","q",,,,,,,"LOg","F46r",,,,,,
"ICD10","F26","F26","a",,,,,,,,,,,,,,
"ICD9","F31","F31","e",,,,,,,"F36",,,,,,,
"ICD9","F32","F32","e",,,,,,,"F32",,,,,,,
"ICD9","F33A","F33","y",7,,,,,,,,,,,,,
"ICD9","F33B","F33","y",7,,,,,,,,,,,,,"F1N"
"ICD9","F33C","F33","y",7,,,,,,,,,,,,,"F57"
"ICD10","F36","F36","a",,,,,,,,,,,,,,
"ICD9","F42","F42","q",,,,,,,"F46",,,,,,,
"ICD9","F42","F42","q",,,,,,,"LOg","F46r",,,,,,
"ICD9","F42","F42","q",,,,,,,"F47",,,,,,,
"ICD9","F43","F43","q",,,,,,,"F46",,,,,,,
"ICD9","F43","F43","q",,,,,,,"LOg","F46r",,,,,,
"ICD9","F43","F43","q",,,,,,,"F47",,,,,,,
"ICD9","F44","F44","b",1,,,,,,,,,,,,,
"ICD10","F46","F46","a",,,,,,,,,,,,,,
"ICD10","LOg","F46","r",,,,,,,,"F46r",,,,,,
"ICD10","F47","F47","a",,,,,,,,,,,,,,
"ICD9","F51","F51","e",,,,,,,"F57",,,,,,,
"ICD9","F52","F52","e",,,,,,,"F57",,,,,,,
"ICD9","F53","F53","e",7,,,,,,"F57",,,,,,,
"ICD10","F57","F56","y",,2,,,,,,,,,,,,
"ICD10","F57","F57","y",,1,,,,,,,,,,,,
"ICD9","F61","F61","e",,,,,,,"F66",,,,,,,
"ICD9","F62","F62","e",,,,,,,"F66",,,,,,,
"ICD9","F63","F63","e",,,,,,,"F66",,,,,,,
"ICD10","F66","F66","a",,,,,,,,,,,,,,
"ICD9","F72","F72","a",,,,,,,,,,,,,,
"ICD9","F73","F73","a",,,,,,,,,,,,,,
"ICD9","F83","F82","e",,,,,,,"F82",,,,,,,
"ICD9","F83","F83","e",,,,,,,"F86",,,,,,,
"ICD10","F86","F86","a",,,,,,,,,,,,,,
"ICD9","F93","F93","a",,,,,,,,,,,,,,
"ICD9","F94","F94","y",7,,,,,,,,,,,,,
"ICD10","F96","F96","a",,,,,,,,,,,,,,
"ICD9","G01","G01","q",,,,,,,"G16",,,,,,,
"ICD9","G01","G01","q",,,,,,,"G18",,,,,,,
"ICD9","G01","G01","q",,,,,,,"LOg","G18r",,,,,,
"ICD9","G11","G11","q",,,,,,,"G16",,,,,,,
"ICD9","G11","G11","q",,,,,,,"G18",,,,,,,
"ICD9","G11","G11","q",,,,,,,"LOg","G18r",,,,,,
"ICD9","G12","G12","q",,,,,,,"G16",,,,,,,
"ICD9","G12","G12","q",,,,,,,"G18",,,,,,,
"ICD9","G12","G12","q",,,,,,,"LOg","G18r",,,,,,
"ICD9","G13","G13","a",,,,,,,,,,,,,,
"ICD9","G14","G14","b",1,,,,,,,,,,,,,
"ICD10","G16","G16","a",,,,,,,,,,,,,,
"ICD10","LOg","G17","r",,,,,,,,"G18r","Gpw",,,,,
"ICD10","G18","G17","u",,,,,,,,"Gpw",,,,,,
"ICD10","G18","G18","a",,,,,,,,,,,,,,
"ICD10","LOg","G18","r",,,,,,,,"G18r",,,,,,
"ICD9","G21","G21","a",,,,,,,,,,,,,,
"ICD9","G22","G22","a",,,,,,,,,,,,,,
"ICD9","G25","G24","v",,,,,,,,"Gpw",,,,,,
"ICD9","G25","G25","a",,,,,,,,,,,,,,
"ICD10","G26","G26","a",,,,,,,,,,,,,,
"ICD10","LOg","G26","r",,,,,,,,"G26r",,,,,,
"ICD10","G28","G28","a",,,,,,,,,,,,,,
"ICD9","G30","G30","e",,,,,,,"G2",,,,,,,
"ICD9","G30","G30","v",,,,,,,,"G3",,,,,,
"ICD9","G31","G31","a",,,,,,,,,,,,,,
"ICD9","G32","G32","a",,,,,,,,,,,,,,
"ICD9","G33","G33","a",,,,,,,,,,,,,,
"ICD9","G34","G34","a",,,,,,,,,,,,,,
"ICD9","G35","G35","y",7,,,,,,,,,,,,,"G37"
"ICD10","G37","G36","o",3,,"G1",1,"G1",1,,"Gpw",,,,,,
"ICD10","G37","G37","a",,,,,,,,,,,,,,
"ICD10","G38","G38","a",,,,,,,,,,,,,,
"ICD9","G42","G42","a",,,,,,,,,,,,,,
"ICD9","H01","H01","e",,,,,,,"H01",,,,,,,
"ICD9","H01","H01","v",,,,,,,,"H8x",,,,,,
"ICD9","H02","H02","e",,,,,,,"H02",,,,,,,
"ICD9","H02","H02","v",,,,,,,,"H8x",,,,,,
"ICD9","H03","H03","e",,,,,,,"H01",,,,,,,
"ICD9","H03","H03","v",,,,,,,,"H8x",,,,,,
"ICD9","H04","H04","g",,,"H1",1,,,"H04",,,,,,,
"ICD9","H04","H04","s",,,"H1",1,,,,"H8x",,,,,,
"ICD9","H05","H05","g",,,"H2",1,,,"H05",,,,,,,
"ICD9","H05","H05","s",,,"H2",1,,,,"H8x",,,,,,
"ICD9","H06","H06","g",,,"H3",1,,,"H06",,,,,,,
"ICD9","H06","H06","s",,,"H3",1,,,,"H8x",,,,,,
"ICD9","H07","H07","g",,,"H3",1,,,"H07",,,,,,,
